2	Sep 6, 2014	7:00 PM	Sat	Louisiana-Monroe	38		Idaho	31	
2	Sep 6, 2014	7:00 PM	Sat	(25) Louisville	66		Murray State	21	
2	Sep 6, 2014	7:30 PM	Sat	Marshall	48		Rhode Island	7	
2	Sep 6, 2014	3:30 PM	Sat	Maryland	24	@	South Florida	17	
2	Sep 6, 2014	7:00 PM	Sat	Miami (FL)	41		Florida A&M	7	
2	Sep 6, 2014	3:30 PM	Sat	Minnesota	35		Middle Tennessee State	24	
2	Sep 6, 2014	4:30 PM	Sat	(15) Mississippi	41	N	Vanderbilt	3	LP Field - Nashville, TN
2	Sep 6, 2014	2:00 PM	Sat	Mississippi State	47		Alabama-Birmingham	34	
2	Sep 6, 2014		Sat	(24) Missouri	49	@	Toledo	24	
2	Sep 6, 2014	1:00 PM	Sat	Navy	31	@	Temple	24	
2	Sep 6, 2014	12:00 PM	Sat	(19) Nebraska	31		McNeese State	24	
2	Sep 6, 2014	10:00 PM	Sat	Nevada-Las Vegas	13		Northern Colorado	12	
2	Sep 6, 2014	2:00 PM	Sat	New Mexico State	34	@	Georgia State	31	
2	Sep 6, 2014	8:00 PM	Sat	(21) North Carolina	31		San Diego State	27	
2	Sep 6, 2014	6:00 PM	Sat	North Carolina State	46		Old Dominion	34	
2	Sep 6, 2014		Sat	North Texas	43		Southern Methodist	6	
2	Sep 6, 2014	3:30 PM	Sat	Northern Illinois	23	@	Northwestern	15	
2	Sep 6, 2014	7:30 PM	Sat	(16) Notre Dame	31		Michigan	0	
2	Sep 6, 2014	12:00 PM	Sat	(4) Oklahoma	52	@	Tulsa	7	
2	Sep 6, 2014	3:30 PM	Sat	Oklahoma State	40		Missouri State	23	
2	Sep 6, 2014	6:30 PM	Sat	(3) Oregon	46		(7) Michigan State	27	
2	Sep 6, 2014	10:30 PM	Sat	Oregon State	38	@	Hawaii	30	
2	Sep 6, 2014	12:00 PM	Sat	Penn State	21		Akron	3	
2	Sep 6, 2014	12:00 PM	Sat	Rutgers	38		Howard	25	
2	Sep 6, 2014	2:00 PM	Sat	South Alabama	23	@	Kent State	13	
2	Sep 6, 2014	7:00 PM	Sat	(21) South Carolina	33		East Carolina	23	
2	Sep 6, 2014	3:30 PM	Sat	(14) Southern California	13	@	(13) Stanford	10	
2	Sep 6, 2014	7:00 PM	Sat	Southern Mississippi	26		Alcorn State	20	
2	Sep 6, 2014	12:00 PM	Sat	Tennessee	34		Arkansas State	19	
2	Sep 6, 2014	9:40 PM	Sat	(9) Texas A&M	73		Lamar	3	
2	Sep 6, 2014	11:00 PM	Sat	Texas Tech	30	@	Texas-El Paso	26	
2	Sep 6, 2014	10:00 PM	Sat	(11) UCLA	42		Memphis	35	
2	Sep 6, 2014	3:00 PM	Sat	Utah	59		Fresno State	27	
2	Sep 6, 2014	8:00 PM	Sat	Utah State	40		Idaho State	20	
2	Sep 6, 2014		Sat	Virginia	45		Richmond	13	
2	Sep 6, 2014	8:00 PM	Sat	Virginia Tech	35	@	(8) Ohio State	21	
2	Sep 6, 2014	6:30 PM	Sat	Wake Forest	23		Gardner-Webb	7	
2	Sep 6, 2014	3:00 PM	Sat	Washington	59		Eastern Washington	52	
2	Sep 6, 2014	7:30 PM	Sat	West Virginia	54		Towson	0	
2	Sep 6, 2014	12:00 PM	Sat	(18) Wisconsin	37		Western Illinois	3	
2	Sep 6, 2014	10:15 PM	Sat	Wyoming	17		Air Force	13	
3	Sep 11, 2014	9:00 PM	Thu	(25) Brigham Young	33		Houston	25	
